classical,modern
春はあけぼの,春の明け方はとても美しい
今日はよき日なり,今日はよい日だ
いと楽しかりけり,とても楽しかった
花の色いとをかし,花の色がとても美しい
友と語らひて楽し,友達と話して楽しい
月の光あはれなり,月の光がしみじみとよい
心うれし,心がうれしい
風すずろに吹く,理由もなく風が吹く
人の来るを待つ,人が来るのを待つ
山の景色いとよし,山の景色がとてもよい
雨ふりて悲し,雨が降って悲しい
友にあひて喜ぶ,友に会って喜ぶ
朝はやく起きたり,朝早く起きた
道を行きて迷ふ,道を行って迷う
先生の話を聞く,先生の話を聞く
書を読みて学ぶ,本を読んで学ぶ
家に帰りて休む,家に帰って休む
花を見て楽しむ,花を見て楽しむ
空の色うつくし,空の色が美しい
鳥の声を聞く,鳥の声を聞く
夜おそく寝たり,夜遅く寝た
友を待ちて疲る,友を待って疲れる
川の水きれいなり,川の水がきれいだ
山に登りて景色を見る,山に登って景色を見る
雨やみて安心す,雨がやんで安心する
星の光かがやく,星の光が輝く
人の話を聞きて思ふ,人の話を聞いて考える
道に迷ひて困る,道に迷って困る
先生にほめらる,先生に褒められる
友と遊びて楽しかり,友と遊んで楽しかった
家族と食事をす,家族と食事をする
朝の空さわやかなり,朝の空がさわやかだ
雨の日はいと寒し,雨の日はとても寒い
風強くて恐ろし,風が強くて怖い
試験終わりて安心す,試験が終わって安心する
友に手紙を書く,友に手紙を書く
花咲きて春来たり,花が咲いて春が来た
夏の日はいと暑し,夏の日はとても暑い
秋の月いと美し,秋の月がとても美しい
冬の朝は寒し,冬の朝は寒い
人の親切ありがたし,人の親切がありがたい
友と別れて悲し,友と別れて悲しい
道遠くて疲れたり,道が遠くて疲れた
家に帰りて安心す,家に帰って安心する
今日の出来事を思ふ,今日の出来事を思い返す
友と約束をす,友と約束をする
朝ごはんを食べたり,朝ごはんを食べた
夜空の星を見る,夜空の星を見る
今日はいと良き日なり,今日はとてもよい日だ